sms_text,category,true_merchant,true_amount
Txn of INR 344 done at BookMyShow on 20-01-2026 using UPI.,Entertainment,BookMyShow,344
Paid Rs 1055 to 1mg via UPI on 23-01-2026. Txn ID: 998877.,Health,1mg,1055
Alert: You have spent Rs 1469 at Swiggy on 02-02-2026. Clear bal: Rs. 1200.00,Food,Swiggy,1469
Acct XX999 debited by Rs 1278 for Rapido on 11-01-2026.,Travel,Rapido,1278
UPI txn of Rs 810 to Subway on 15-01-2026 is successful.,Food,Subway,810
"Dear User, INR 235 spent on Starbucks at 09-02-2026. Ref: 8932742.",Food,Starbucks,235
You paid Rs 1053 at Subway via POS on 28-01-2026.,Food,Subway,1053
"Dear User, INR 3488 spent on Reliance Trends at 09-02-2026. Ref: 8932742.",Shopping,Reliance Trends,3488
"Dear User, INR 1710 spent on Netflix at 28-01-2026. Ref: 8932742.",Entertainment,Netflix,1710
You paid Rs 1039 at Spencers via POS on 02-02-2026.,Groceries,Spencers,1039
Alert: You have spent Rs 882 at H&M on 21-01-2026. Clear bal: Rs. 1200.00,Shopping,H&M,882
You paid Rs 1288 at 1mg via POS on 12-01-2026.,Health,1mg,1288
"Dear User, INR 178 spent on RedBus at 17-01-2026. Ref: 8932742.",Travel,RedBus,178
You paid Rs 1802 at More Supermarket via POS on 04-02-2026.,Groceries,More Supermarket,1802
Paid Rs 1141 to Myntra via UPI on 16-01-2026. Txn ID: 998877.,Shopping,Myntra,1141
Txn of INR 1392 done at Prime Video on 15-01-2026 using UPI.,Entertainment,Prime Video,1392
You paid Rs 1567 at Dmart via POS on 16-01-2026.,Groceries,Dmart,1567
Rs. 1176 debited from a/c ending XX1234 on 25-01-2026 to Pizza Hut. Avl Bal: Rs 15000.,Food,Pizza Hut,1176
Txn of INR 1322 done at BigBasket on 26-01-2026 using UPI.,Groceries,BigBasket,1322
Alert: You have spent Rs 1122 at Netmeds on 11-01-2026. Clear bal: Rs. 1200.00,Health,Netmeds,1122
UPI txn of Rs 4824 to Croma on 21-01-2026 is successful.,Shopping,Croma,4824
Acct XX999 debited by Rs 1223 for Haldirams on 14-01-2026.,Food,Haldirams,1223
Acct XX999 debited by Rs 1463 for RedBus on 25-01-2026.,Travel,RedBus,1463
"Dear User, INR 450 spent on Hotstar at 11-01-2026. Ref: 8932742.",Entertainment,Hotstar,450
Alert: You have spent Rs 243 at Prime Video on 11-01-2026. Clear bal: Rs. 1200.00,Entertainment,Prime Video,243
Acct XX999 debited by Rs 1017 for BigBasket on 29-01-2026.,Groceries,BigBasket,1017
Alert: You have spent Rs 818 at Uber on 18-01-2026. Clear bal: Rs. 1200.00,Travel,Uber,818
You paid Rs 71 at Blinkit via POS on 25-01-2026.,Groceries,Blinkit,71
Rs. 3618 debited from a/c ending XX1234 on 28-01-2026 to Amazon. Avl Bal: Rs 15000.,Shopping,Amazon,3618
Txn of INR 1439 done at Blinkit on 05-02-2026 using UPI.,Groceries,Blinkit,1439
Alert: You have spent Rs 182 at BigBasket on 17-01-2026. Clear bal: Rs. 1200.00,Groceries,BigBasket,182
"Dear User, INR 572 spent on Shell Petrol at 13-01-2026. Ref: 8932742.",Travel,Shell Petrol,572
Alert: You have spent Rs 459 at Apollo Pharmacy on 21-01-2026. Clear bal: Rs. 1200.00,Health,Apollo Pharmacy,459
UPI txn of Rs 766 to Croma on 30-01-2026 is successful.,Shopping,Croma,766
Rs. 725 debited from a/c ending XX1234 on 10-01-2026 to More Supermarket. Avl Bal: Rs 15000.,Groceries,More Supermarket,725
"Dear User, INR 267 spent on Apollo Pharmacy at 18-01-2026. Ref: 8932742.",Health,Apollo Pharmacy,267
UPI txn of Rs 1822 to Indian Oil on 31-01-2026 is successful.,Travel,Indian Oil,1822
UPI txn of Rs 445 to Apollo Pharmacy on 18-01-2026 is successful.,Health,Apollo Pharmacy,445
Acct XX999 debited by Rs 1179 for BigBasket on 19-01-2026.,Groceries,BigBasket,1179
Acct XX999 debited by Rs 474 for Shell Petrol on 20-01-2026.,Travel,Shell Petrol,474
Acct XX999 debited by Rs 592 for H&M on 11-01-2026.,Shopping,H&M,592
Alert: You have spent Rs 4448 at Nike on 14-01-2026. Clear bal: Rs. 1200.00,Shopping,Nike,4448
Alert: You have spent Rs 3692 at Flipkart on 25-01-2026. Clear bal: Rs. 1200.00,Shopping,Flipkart,3692
INR 770 charged on card ending 4455 at 1mg on 23-01-2026.,Health,1mg,770
Acct XX999 debited by Rs 1219 for Cafe Coffee Day on 19-01-2026.,Food,Cafe Coffee Day,1219
Txn of INR 2534 done at Amazon on 05-02-2026 using UPI.,Shopping,Amazon,2534
Alert: You have spent Rs 1124 at BigBasket on 15-01-2026. Clear bal: Rs. 1200.00,Groceries,BigBasket,1124
"Dear User, INR 336 spent on SonyLIV at 13-01-2026. Ref: 8932742.",Entertainment,SonyLIV,336
INR 227 charged on card ending 4455 at SonyLIV on 20-01-2026.,Entertainment,SonyLIV,227
Rs. 1711 debited from a/c ending XX1234 on 23-01-2026 to 1mg. Avl Bal: Rs 15000.,Health,1mg,1711
UPI txn of Rs 692 to IRCTC on 25-01-2026 is successful.,Travel,IRCTC,692
