amount,merchant,date,original_text,true_category
344,BookMyShow,20-01-2026,Txn of INR 344 done at BookMyShow on 20-01-2026 using UPI.,Entertainment
1055,1mg,23-01-2026,Paid Rs 1055 to 1mg via UPI on 23-01-2026. Txn ID: 998877.,Health
1469,Swiggy,02-02-2026,Alert: You have spent Rs 1469 at Swiggy on 02-02-2026. Clear bal: Rs. 1200.00,Food
1278,Rapido,11-01-2026,Acct XX999 debited by Rs 1278 for Rapido on 11-01-2026.,Travel
810,Subway,15-01-2026,UPI txn of Rs 810 to Subway on 15-01-2026 is successful.,Food
235,Starbucks,09-02-2026,"Dear User, INR 235 spent on Starbucks at 09-02-2026. Ref: 8932742.",Food
1053,Subway,28-01-2026,You paid Rs 1053 at Subway via POS on 28-01-2026.,Food
3488,Reliance Trends,09-02-2026,"Dear User, INR 3488 spent on Reliance Trends at 09-02-2026. Ref: 8932742.",Shopping
1710,Netflix,28-01-2026,"Dear User, INR 1710 spent on Netflix at 28-01-2026. Ref: 8932742.",Entertainment
1039,Spencers,02-02-2026,You paid Rs 1039 at Spencers via POS on 02-02-2026.,Groceries
882,H&M,21-01-2026,Alert: You have spent Rs 882 at H&M on 21-01-2026. Clear bal: Rs. 1200.00,Shopping
1288,1mg,12-01-2026,You paid Rs 1288 at 1mg via POS on 12-01-2026.,Health
178,RedBus,17-01-2026,"Dear User, INR 178 spent on RedBus at 17-01-2026. Ref: 8932742.",Travel
1802,More Supermarket,04-02-2026,You paid Rs 1802 at More Supermarket via POS on 04-02-2026.,Groceries
1141,Myntra,16-01-2026,Paid Rs 1141 to Myntra via UPI on 16-01-2026. Txn ID: 998877.,Shopping
1392,Prime Video,15-01-2026,Txn of INR 1392 done at Prime Video on 15-01-2026 using UPI.,Entertainment
1567,Dmart,16-01-2026,You paid Rs 1567 at Dmart via POS on 16-01-2026.,Groceries
1176,25-01-2026 to Pizza Hut,25-01-2026,Rs. 1176 debited from a/c ending XX1234 on 25-01-2026 to Pizza Hut. Avl Bal: Rs 15000.,Food
1322,BigBasket,26-01-2026,Txn of INR 1322 done at BigBasket on 26-01-2026 using UPI.,Groceries
1122,Netmeds,11-01-2026,Alert: You have spent Rs 1122 at Netmeds on 11-01-2026. Clear bal: Rs. 1200.00,Health
4824,Croma,21-01-2026,UPI txn of Rs 4824 to Croma on 21-01-2026 is successful.,Shopping
1223,Haldirams,14-01-2026,Acct XX999 debited by Rs 1223 for Haldirams on 14-01-2026.,Food
1463,RedBus,25-01-2026,Acct XX999 debited by Rs 1463 for RedBus on 25-01-2026.,Travel
450,Hotstar,11-01-2026,"Dear User, INR 450 spent on Hotstar at 11-01-2026. Ref: 8932742.",Entertainment
243,Prime Video,11-01-2026,Alert: You have spent Rs 243 at Prime Video on 11-01-2026. Clear bal: Rs. 1200.00,Entertainment
1017,BigBasket,29-01-2026,Acct XX999 debited by Rs 1017 for BigBasket on 29-01-2026.,Groceries
818,Uber,18-01-2026,Alert: You have spent Rs 818 at Uber on 18-01-2026. Clear bal: Rs. 1200.00,Travel
71,Blinkit,25-01-2026,You paid Rs 71 at Blinkit via POS on 25-01-2026.,Groceries
3618,28-01-2026 to Amaz,28-01-2026,Rs. 3618 debited from a/c ending XX1234 on 28-01-2026 to Amazon. Avl Bal: Rs 15000.,Shopping
1439,Blinkit,05-02-2026,Txn of INR 1439 done at Blinkit on 05-02-2026 using UPI.,Groceries
182,BigBasket,17-01-2026,Alert: You have spent Rs 182 at BigBasket on 17-01-2026. Clear bal: Rs. 1200.00,Groceries
572,Shell Petrol,13-01-2026,"Dear User, INR 572 spent on Shell Petrol at 13-01-2026. Ref: 8932742.",Travel
459,Apollo Pharmacy,21-01-2026,Alert: You have spent Rs 459 at Apollo Pharmacy on 21-01-2026. Clear bal: Rs. 1200.00,Health
766,Croma,30-01-2026,UPI txn of Rs 766 to Croma on 30-01-2026 is successful.,Shopping
725,10-01-2026 to More Supermarket,10-01-2026,Rs. 725 debited from a/c ending XX1234 on 10-01-2026 to More Supermarket. Avl Bal: Rs 15000.,Groceries
267,Apollo Pharmacy,18-01-2026,"Dear User, INR 267 spent on Apollo Pharmacy at 18-01-2026. Ref: 8932742.",Health
1822,Indian Oil,31-01-2026,UPI txn of Rs 1822 to Indian Oil on 31-01-2026 is successful.,Travel
445,Apollo Pharmacy,18-01-2026,UPI txn of Rs 445 to Apollo Pharmacy on 18-01-2026 is successful.,Health
1179,BigBasket,19-01-2026,Acct XX999 debited by Rs 1179 for BigBasket on 19-01-2026.,Groceries
474,Shell Petrol,20-01-2026,Acct XX999 debited by Rs 474 for Shell Petrol on 20-01-2026.,Travel
592,H&M,11-01-2026,Acct XX999 debited by Rs 592 for H&M on 11-01-2026.,Shopping
4448,Nike,14-01-2026,Alert: You have spent Rs 4448 at Nike on 14-01-2026. Clear bal: Rs. 1200.00,Shopping
3692,Flipkart,25-01-2026,Alert: You have spent Rs 3692 at Flipkart on 25-01-2026. Clear bal: Rs. 1200.00,Shopping
